stem,selected_instances,all_instances,selected_indices,selected_mean_abs_rgb_diff,control_mean_abs_rgb_diff,background_mean_abs_rgb_diff,selected_changed_ratio_diff_gt8,control_changed_ratio_diff_gt8,background_changed_ratio_diff_gt8,label_sha256_equal,depth_sha256_equal
IMG_0001_20260519032107538,2,3,0|2,79.10806274414062,1.425218105316162,1.0009840726852417,0.9169634906500446,0.004617752693689072,0.019253098682185724,True,True
IMG_0001_20260519035419839,1,2,0,101.5128173828125,1.3924994468688965,0.9480842351913452,0.9486679028008198,0.004500330906684315,0.018230276803593754,True,True
IMG_0002_20260531183823941,1,4,0,117.96004486083984,1.795074701309204,0.5324496030807495,0.9666011787819253,0.014595249499873206,0.003735250737463127,True,True
IMG_0005_20260519022640012,3,4,0|2|3,8.715038299560547,1.5531400442123413,1.6702913045883179,0.14296255303449548,0.0,0.035430366419855364,True,True
IMG_0005_20260601194700559,1,2,1,104.7096176147461,15.558923721313477,0.6453148722648621,0.9686547670875054,0.36500358080687517,0.011160002126980751,True,True
IMG_0005_20260602202800435,3,5,0|1|3,61.79495620727539,6.00680685043335,2.094855308532715,0.8225975915299443,0.20112034694615108,0.05198535740581348,True,True
IMG_0007_20260519031052562,1,3,1,70.00450897216797,1.6956335306167603,0.7999442219734192,1.0,0.007747433662599264,0.014634725769205239,True,True
IMG_0008_20260519034404107,1,3,1,63.69876480102539,1.4118040800094604,0.97728031873703,0.901010101010101,0.006766266103713327,0.016132644633883454,True,True
IMG_0009_20260519195352213,1,3,2,7.243649959564209,7.070498943328857,1.1150474548339844,0.16792097836312322,0.17479329263580867,0.013853834802157032,True,True
IMG_0012_20260602202801133,1,4,3,43.49864196777344,2.1913299560546875,0.5629799962043762,0.6360908701243034,0.03168160550200124,0.005816221336825388,True,True
IMG_0012_20260602212716738,2,4,0|1,35.361854553222656,2.8748362064361572,1.1226567029953003,0.7642999539947861,0.06289017341040462,0.027193264144484947,True,True
IMG_0014_20260519035642641,1,1,0,121.92604064941406,nan,0.6853108406066895,0.9480831630813604,nan,0.008699172574854707,True,True
IMG_0018_20260519031141201,1,3,1,29.78449821472168,1.6978238821029663,0.9055172204971313,0.46540880503144655,0.02204273935722699,0.014142417594547235,True,True
IMG_0020_20260519030212085,1,3,1,13.087186813354492,1.8729560375213623,0.859603226184845,0.4229452054794521,0.019683486037438077,0.01566372277550673,True,True
IMG_0021_20260519033301410,1,3,1,37.113006591796875,1.200303316116333,0.7224860191345215,0.6048540007584376,0.0013843567685157719,0.008055697062319579,True,True
IMG_0021_20260531180430128,3,4,0|1|2,45.013423919677734,11.365015983581543,2.0019257068634033,0.5032685013316116,0.3131554493561662,0.05280389981264893,True,True
IMG_0023_20260519063608445,3,5,0|3|4,6.538177490234375,0.7839478254318237,1.451361894607544,0.09722468785135215,0.0,0.037484132451628016,True,True
IMG_0023_20260531180517658,1,4,2,16.811452865600586,1.639914870262146,0.4884321987628937,0.33798882681564246,0.02072400307517465,0.0032322560351715733,True,True
IMG_0024_20260601042338501,2,4,2|3,92.2314453125,0.385147362947464,1.0056443214416504,0.7662124060150376,0.0,0.01992574759592626,True,True
IMG_0024_20260601201837957,1,3,0,20.81199073791504,1.1700444221496582,0.9428304433822632,0.2900726724256136,0.001215066828675577,0.02053014457485875,True,True
IMG_0027_20260519032554715,1,3,1,95.4622802734375,2.0253727436065674,0.813886821269989,0.9111870196413322,0.01569933396764986,0.011437936745581976,True,True
IMG_0027_20260601211751828,1,4,1,19.117755889892578,9.065156936645508,0.6986669301986694,0.7002012072434608,0.28780812791472354,0.010890701380074,True,True
IMG_0028_20260519033437231,3,4,0|1|2,80.04735565185547,21.490392684936523,1.0677337646484375,0.8640922017662027,0.4970480742198482,0.024689903562953364,True,True
IMG_0028_20260601041719724,3,4,0|1|2,39.30387496948242,21.414865493774414,1.2974990606307983,0.4502439024390244,0.6941472624292008,0.03498568391602609,True,True
IMG_0029_20260519033437423,2,2,0|1,47.02606964111328,nan,0.819624125957489,0.8773259820813232,nan,0.015343511952099587,True,True
IMG_0031_20260519032333207,2,3,0|1,36.9693717956543,0.9221206307411194,1.1785366535186768,0.4997689463955638,0.00020548648926333094,0.023498767940439324,True,True
IMG_0031_20260519032642832,2,3,0|1,87.09029388427734,0.5714921951293945,1.6203808784484863,0.9857771372221801,0.0,0.03767368003175863,True,True
IMG_0031_20260519072026075,1,4,0,9.698502540588379,2.6594271659851074,0.5982030034065247,0.22612359550561797,0.04953872765712089,0.003951376314201092,True,True
IMG_0031_20260519210233121,2,3,1|2,59.1653938293457,1.385241150856018,1.2099381685256958,0.47815368922135326,0.002939169684564111,0.01916543347456247,True,True
IMG_0033_20260519030038859,1,3,2,85.74417877197266,1.592017650604248,1.028101921081543,0.9042576183272099,0.006894732876196217,0.016925635164166345,True,True
IMG_0033_20260519033612913,2,3,0|2,126.98686981201172,2.6824536323547363,1.0054125785827637,0.9518745300247072,0.03628213802435724,0.02322532833217393,True,True
IMG_0033_20260519034407035,1,3,0,15.70577335357666,1.2022368907928467,0.8025931715965271,0.5591670898933468,0.004988470045649207,0.013367044390137403,True,True
IMG_0033_20260531050553543,3,4,0|1|2,45.911956787109375,14.432259559631348,1.2829093933105469,0.5750725657489665,0.5795065730235909,0.0338615449760222,True,True
IMG_0035_20260601202014327,1,4,0,34.32102966308594,1.5450997352600098,0.9150044918060303,0.5226529659037833,0.004269073611026407,0.01665962267288386,True,True
IMG_0037_20260601040839840,3,5,0|2|3,8.969870567321777,7.068508625030518,1.3720487356185913,0.1241180243745991,0.23406193078324225,0.03955996626168728,True,True
IMG_0038_20260531185859988,2,6,1|2,94.81749725341797,4.695458889007568,0.7548583745956421,0.8924009171306911,0.1284175958454254,0.012474685224169838,True,True
IMG_0040_20260519032112048,1,3,0,47.63623809814453,2.3450634479522705,1.1712902784347534,0.8604579683417858,0.03565459610027855,0.023437257478709863,True,True
IMG_0040_20260519205440563,2,3,0|1,33.622886657714844,1.6512072086334229,1.3451504707336426,0.8075349575624351,0.03996447602131439,0.03016095819647018,True,True
IMG_0041_20260519034455467,2,4,0|1,20.875980377197266,0.6034818291664124,1.0556164979934692,0.4796774724370578,0.0,0.02580773888154998,True,True
IMG_0041_20260531181225751,3,4,0|2|3,45.414005279541016,1.1737653017044067,0.8509731292724609,0.6772675413576725,0.0,0.016169716703347502,True,True
