image,depth,sample_group,module,gate_mode,shape,src_weight_mean,src_weight_std,src_weight_min,src_weight_max,depth_weight_mean,depth_weight_std,depth_weight_min,depth_weight_max,base_blend_weight,out_blend_weight
622_xinjiang_IMG_0001_20260519032107538.jpg,622_xinjiang_IMG_0001_20260519032107538.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9694350957870483,0.033975087106227875,0.4353577792644501,0.999000608921051,0.03056483529508114,0.033975083380937576,0.0009993910789489746,0.5646421909332275,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0001_20260519032107538.jpg,622_xinjiang_IMG_0001_20260519032107538.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.8603461980819702,0.061483658850193024,0.3401406705379486,0.9799254536628723,0.13965369760990143,0.061483658850193024,0.020074546337127686,0.659859299659729,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0001_20260519032107538.jpg,622_xinjiang_IMG_0001_20260519032107538.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.7128334045410156,0.12373458594083786,0.33738383650779724,0.9273144602775574,0.2871665954589844,0.12373458594083786,0.07268553972244263,0.6626161336898804,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0001_20260519032107538_realexp.jpg,622_xinjiang_IMG_0001_20260519032107538_realexp.png,overexposed,model.36.coord_att,spatial_illum,1x1x80x80,0.9710736274719238,0.029417861253023148,0.4102243185043335,0.9990237951278687,0.028926409780979156,0.029417861253023148,0.0009762048721313477,0.5897756814956665,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0001_20260519032107538_realexp.jpg,622_xinjiang_IMG_0001_20260519032107538_realexp.png,overexposed,model.37.coord_att,spatial_illum,1x1x40x40,0.86161208152771,0.05953775346279144,0.4122997522354126,0.9792576432228088,0.13838793337345123,0.05953775346279144,0.020742356777191162,0.5877002477645874,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0001_20260519032107538_realexp.jpg,622_xinjiang_IMG_0001_20260519032107538_realexp.png,overexposed,model.38.coord_att,spatial_illum,1x1x20x20,0.7091546058654785,0.12702621519565582,0.2927282154560089,0.9278864860534668,0.29084542393684387,0.12702621519565582,0.0721135139465332,0.7072718143463135,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0001_20260519035419839.jpg,622_xinjiang_IMG_0001_20260519035419839.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9700340032577515,0.03167486935853958,0.5222599506378174,0.9989186525344849,0.029966020956635475,0.03167486935853958,0.0010813474655151367,0.4777400493621826,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0001_20260519035419839.jpg,622_xinjiang_IMG_0001_20260519035419839.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.8490009307861328,0.0731516107916832,0.42059391736984253,0.9885346293449402,0.150999054312706,0.0731516107916832,0.011465370655059814,0.5794060826301575,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0001_20260519035419839.jpg,622_xinjiang_IMG_0001_20260519035419839.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.6930422186851501,0.1285708099603653,0.27485495805740356,0.9429949522018433,0.30695778131484985,0.1285708099603653,0.05700504779815674,0.7251450419425964,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0001_20260519035419839_realexp.jpg,622_xinjiang_IMG_0001_20260519035419839_realexp.png,overexposed,model.36.coord_att,spatial_illum,1x1x80x80,0.9729192852973938,0.02455132082104683,0.5626662969589233,0.99898761510849,0.02708072029054165,0.02455132082104683,0.0010123848915100098,0.43733370304107666,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0001_20260519035419839_realexp.jpg,622_xinjiang_IMG_0001_20260519035419839_realexp.png,overexposed,model.37.coord_att,spatial_illum,1x1x40x40,0.8511154055595398,0.06777894496917725,0.3222505748271942,0.9889919757843018,0.1488846391439438,0.06777894496917725,0.011008024215698242,0.6777493953704834,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0001_20260519035419839_realexp.jpg,622_xinjiang_IMG_0001_20260519035419839_realexp.png,overexposed,model.38.coord_att,spatial_illum,1x1x20x20,0.6952000260353088,0.12963370978832245,0.3007688820362091,0.9423584342002869,0.30480000376701355,0.12963370978832245,0.057641565799713135,0.6992311477661133,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0002_20260519035950928.jpg,622_xinjiang_IMG_0002_20260519035950928.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9696868658065796,0.035721246153116226,0.3094405233860016,0.9994633793830872,0.030313091352581978,0.035721246153116226,0.0005366206169128418,0.6905595064163208,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0002_20260519035950928.jpg,622_xinjiang_IMG_0002_20260519035950928.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.856107234954834,0.06678186357021332,0.3540494441986084,0.9795995950698853,0.1438927799463272,0.06678186357021332,0.020400404930114746,0.6459505558013916,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0002_20260519035950928.jpg,622_xinjiang_IMG_0002_20260519035950928.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.7084291577339172,0.1471148133277893,0.32279521226882935,0.9741584658622742,0.2915708124637604,0.1471148133277893,0.02584153413772583,0.6772047877311707,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0002_20260531183823941.jpg,622_xinjiang_IMG_0002_20260531183823941.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9591834545135498,0.05008022487163544,0.33114877343177795,0.996694803237915,0.04081660881638527,0.05008022487163544,0.003305196762084961,0.6688512563705444,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0002_20260531183823941.jpg,622_xinjiang_IMG_0002_20260531183823941.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.8378039598464966,0.08155965805053711,0.2706007659435272,0.982653796672821,0.1621960997581482,0.08155965805053711,0.017346203327178955,0.7293992042541504,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0002_20260531183823941.jpg,622_xinjiang_IMG_0002_20260531183823941.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.7101684808731079,0.12545263767242432,0.2832111716270447,0.9535747766494751,0.2898315191268921,0.12545263767242432,0.0464252233505249,0.7167888283729553,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0002_20260531183823941_realexp.jpg,622_xinjiang_IMG_0002_20260531183823941_realexp.png,overexposed,model.36.coord_att,spatial_illum,1x1x80x80,0.9595497846603394,0.04925234243273735,0.35300955176353455,0.9967759251594543,0.04045017063617706,0.04925234243273735,0.0032240748405456543,0.6469904184341431,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0002_20260531183823941_realexp.jpg,622_xinjiang_IMG_0002_20260531183823941_realexp.png,overexposed,model.37.coord_att,spatial_illum,1x1x40x40,0.8385476469993591,0.08053107559680939,0.274829238653183,0.9851367473602295,0.1614522933959961,0.08053107559680939,0.014863252639770508,0.7251707315444946,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0002_20260531183823941_realexp.jpg,622_xinjiang_IMG_0002_20260531183823941_realexp.png,overexposed,model.38.coord_att,spatial_illum,1x1x20x20,0.7101059556007385,0.12603099644184113,0.28262901306152344,0.9468836784362793,0.28989407420158386,0.12603099644184113,0.0531163215637207,0.7173709869384766,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0005_20260519022640012.jpg,622_xinjiang_IMG_0005_20260519022640012.png,normal,model.36.coord_att,spatial_illum,1x1x80x80,0.9741599559783936,0.023155953735113144,0.64823317527771,0.9991117119789124,0.02584005892276764,0.023155953735113144,0.0008882880210876465,0.35176682472229004,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0005_20260519022640012.jpg,622_xinjiang_IMG_0005_20260519022640012.png,normal,model.37.coord_att,spatial_illum,1x1x40x40,0.8573086261749268,0.05596531927585602,0.47037702798843384,0.9815287590026855,0.14269138872623444,0.05596531927585602,0.018471240997314453,0.5296229720115662,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0005_20260519022640012.jpg,622_xinjiang_IMG_0005_20260519022640012.png,normal,model.38.coord_att,spatial_illum,1x1x20x20,0.6913760900497437,0.12686747312545776,0.27658766508102417,0.9452925324440002,0.30862388014793396,0.12686747312545776,0.054707467555999756,0.7234123349189758,0.45556193590164185,0.5444381237030029
622_xinjiang_IMG_0005_20260519022640012_realexp.jpg,622_xinjiang_IMG_0005_20260519022640012_realexp.png,overexposed,model.36.coord_att,spatial_illum,1x1x80x80,0.9745707511901855,0.022172069177031517,0.6624370217323303,0.998974084854126,0.0254292543977499,0.022172069177031517,0.0010259151458740234,0.3375629782676697,0.5456488728523254,0.4543510973453522
622_xinjiang_IMG_0005_20260519022640012_realexp.jpg,622_xinjiang_IMG_0005_20260519022640012_realexp.png,overexposed,model.37.coord_att,spatial_illum,1x1x40x40,0.8585588335990906,0.054829228669404984,0.48165369033813477,0.9802486300468445,0.14144128561019897,0.054829228669404984,0.019751369953155518,0.5183463096618652,0.5461330413818359,0.4538668990135193
622_xinjiang_IMG_0005_20260519022640012_realexp.jpg,622_xinjiang_IMG_0005_20260519022640012_realexp.png,overexposed,model.38.coord_att,spatial_illum,1x1x20x20,0.6953225135803223,0.1269293874502182,0.28917741775512695,0.9479948282241821,0.3046775162220001,0.1269293874502182,0.05200517177581787,0.710822582244873,0.45556193590164185,0.5444381237030029
