stem,module,selected_instances,all_instances,normal_selected_src,exposed_selected_src,selected_src_delta_exposed_minus_normal,selected_depth_delta_exposed_minus_normal,control_src_delta_exposed_minus_normal,background_src_delta_exposed_minus_normal,selected_vs_control_did_src,selected_vs_background_did_src,normal_selected_minus_background_src,exposed_selected_minus_background_src,selected_feature_area,control_feature_area
IMG_0001_20260519032107538,model.36.coord_att,2,3,0.9077957272529602,0.9520039558410645,0.04420822858810425,-0.04420822858810425,0.0022044777870178223,0.00014978647232055664,0.042003750801086426,0.04405844211578369,-0.06513983011245728,-0.021081387996673584,210.5625,121.8125
IMG_0001_20260519032107538,model.37.coord_att,2,3,0.8428292274475098,0.8671452403068542,0.024316012859344482,-0.024316012859344482,0.0013819336891174316,0.00046366453170776367,0.02293407917022705,0.02385234832763672,-0.01820206642150879,0.00565028190612793,52.640625,30.453125
IMG_0001_20260519032107538,model.38.coord_att,2,3,0.6624277234077454,0.643743097782135,-0.01868462562561035,0.01868462562561035,0.00015920400619506836,-0.0032349824905395508,-0.01884382963180542,-0.0154496431350708,-0.051225244998931885,-0.06667488813400269,13.16015625,7.61328125
IMG_0001_20260519035419839,model.36.coord_att,1,2,0.9126244783401489,0.9653516411781311,0.05272716283798218,-0.05272716283798218,0.0017369389533996582,0.00023090839385986328,0.05099022388458252,0.052496254444122314,-0.061336636543273926,-0.008840382099151611,320.21875,118.046875
IMG_0001_20260519035419839,model.37.coord_att,1,2,0.7215215563774109,0.7708772420883179,0.04935568571090698,-0.04935568571090698,0.00414276123046875,-0.00046312808990478516,0.04521292448043823,0.04981881380081177,-0.13406342267990112,-0.08424460887908936,80.0546875,29.51171875
IMG_0001_20260519035419839,model.38.coord_att,1,2,0.6191418766975403,0.5654938817024231,-0.05364799499511719,0.05364799499511719,-0.00016075372695922852,0.005201220512390137,-0.05348724126815796,-0.058849215507507324,-0.07613950967788696,-0.1349887251853943,20.013671875,7.3779296875
IMG_0002_20260531183823941,model.36.coord_att,1,4,0.9364027380943298,0.9537444114685059,0.017341673374176025,-0.017341673374176025,0.0029369592666625977,9.906291961669922e-05,0.014404714107513428,0.017242610454559326,-0.029937744140625,-0.012695133686065674,7.953125,554.546875
IMG_0002_20260531183823941,model.37.coord_att,1,4,0.8200647234916687,0.8386855125427246,0.018620789051055908,-0.018620789051055908,0.005819916725158691,0.0002372264862060547,0.012800872325897217,0.018383562564849854,-0.02383708953857422,-0.005453526973724365,1.98828125,138.63671875
IMG_0002_20260531183823941,model.38.coord_att,1,4,0.806243360042572,0.8246299028396606,0.018386542797088623,-0.018386542797088623,-0.00011640787124633789,-8.255243301391602e-05,0.01850295066833496,0.01846909523010254,0.09183734655380249,0.11030644178390503,0.4970703125,34.6591796875
IMG_0005_20260519022640012,model.36.coord_att,3,4,0.962417721748352,0.9694650769233704,0.0070473551750183105,-0.0070473551750183105,0.001174330711364746,0.00013315677642822266,0.0058730244636535645,0.006914198398590088,-0.012337923049926758,-0.00542372465133667,254.109375,19.40625
IMG_0005_20260519022640012,model.37.coord_att,3,4,0.8248706459999084,0.8297191858291626,0.00484853982925415,-0.00484853982925415,-0.0028026700019836426,0.0011137723922729492,0.007651209831237793,0.003734767436981201,-0.03395658731460571,-0.03022181987762451,63.52734375,4.8515625
IMG_0005_20260519022640012,model.38.coord_att,3,4,0.603488028049469,0.6117351651191711,0.008247137069702148,-0.008247137069702148,-0.007901966571807861,0.00380551815032959,0.01614910364151001,0.004441618919372559,-0.09193015098571777,-0.08748853206634521,15.8818359375,1.212890625
IMG_0005_20260601194700559,model.36.coord_att,1,2,0.8731535077095032,0.9425297975540161,0.06937628984451294,-0.06937628984451294,0.004461348056793213,0.0001946091651916504,0.06491494178771973,0.06918168067932129,-0.0998314619064331,-0.030649781227111816,35.890625,65.453125
IMG_0005_20260601194700559,model.37.coord_att,1,2,0.8742120265960693,0.8662952184677124,-0.007916808128356934,0.007916808128356934,0.014573872089385986,0.0002967715263366699,-0.02249068021774292,-0.008213579654693604,0.013202548027038574,0.004988968372344971,8.97265625,16.36328125
IMG_0005_20260601194700559,model.38.coord_att,1,2,0.7337924242019653,0.7453056573867798,0.011513233184814453,-0.011513233184814453,0.06539428234100342,0.009061157703399658,-0.053881049156188965,0.002452075481414795,0.03236514329910278,0.03481721878051758,2.2431640625,4.0908203125
IMG_0005_20260602202800435,model.36.coord_att,3,5,0.9321624040603638,0.9491789937019348,0.017016589641571045,-0.017016589641571045,0.000508725643157959,0.00046819448471069336,0.016507863998413086,0.01654839515686035,-0.0367092490196228,-0.02016085386276245,193.328125,86.46875
IMG_0005_20260602202800435,model.37.coord_att,3,5,0.8187519311904907,0.827265739440918,0.008513808250427246,-0.008513808250427246,0.027696430683135986,0.0016444921493530273,-0.01918262243270874,0.006869316101074219,-0.034269094467163086,-0.027399778366088867,48.33203125,21.6171875
IMG_0005_20260602202800435,model.38.coord_att,3,5,0.6651985049247742,0.6040183901786804,-0.06118011474609375,0.06118011474609375,-0.0463525652885437,-0.008786559104919434,-0.014827549457550049,-0.052393555641174316,-0.022990643978118896,-0.07538419961929321,12.0830078125,5.404296875
IMG_0007_20260519031052562,model.36.coord_att,1,3,0.9649256467819214,0.9566766619682312,-0.008248984813690186,0.008248984813690186,0.0027292370796203613,2.6524066925048828e-05,-0.010978221893310547,-0.008275508880615234,-0.009275078773498535,-0.01755058765411377,85.53125,242.015625
IMG_0007_20260519031052562,model.37.coord_att,1,3,0.8680228590965271,0.8443710207939148,-0.023651838302612305,0.023651838302612305,0.003216087818145752,0.00041794776916503906,-0.026867926120758057,-0.024069786071777344,0.013002932071685791,-0.011066854000091553,21.3828125,60.50390625
IMG_0007_20260519031052562,model.38.coord_att,1,3,0.6309158205986023,0.6230642795562744,-0.00785154104232788,0.00785154104232788,0.0015091896057128906,-0.0006291866302490234,-0.009360730648040771,-0.007222354412078857,-0.07747173309326172,-0.08469408750534058,5.345703125,15.1259765625
IMG_0008_20260519034404107,model.36.coord_att,1,3,0.9716558456420898,0.9764378070831299,0.004781961441040039,-0.004781961441040039,0.003454267978668213,8.910894393920898e-05,0.0013276934623718262,0.00469285249710083,-0.00210648775100708,0.00258636474609375,46.40625,288.65625
IMG_0008_20260519034404107,model.37.coord_att,1,3,0.919784426689148,0.9296209216117859,0.00983649492263794,-0.00983649492263794,0.001017928123474121,0.00027883052825927734,0.008818566799163818,0.009557664394378662,0.056212663650512695,0.06577032804489136,11.6015625,72.1640625
IMG_0008_20260519034404107,model.38.coord_att,1,3,0.8654748201370239,0.8226537704467773,-0.04282104969024658,0.04282104969024658,0.008375763893127441,-0.0015125274658203125,-0.05119681358337402,-0.04130852222442627,0.1412258744239807,0.09991735219955444,2.900390625,18.041015625
IMG_0009_20260519195352213,model.36.coord_att,1,3,0.9668253660202026,0.9739266633987427,0.007101297378540039,-0.007101297378540039,0.005074679851531982,3.2842159271240234e-05,0.0020266175270080566,0.007068455219268799,-0.008577585220336914,-0.0015091300010681152,66.4375,202.203125
IMG_0009_20260519195352213,model.37.coord_att,1,3,0.9014388918876648,0.901462972164154,2.4080276489257812e-05,-2.4080276489257812e-05,0.0004628300666809082,-2.2292137145996094e-05,-0.0004387497901916504,4.6372413635253906e-05,0.019436955451965332,0.019483327865600586,16.609375,50.55078125
IMG_0009_20260519195352213,model.38.coord_att,1,3,0.766365647315979,0.7514390349388123,-0.014926612377166748,0.014926612377166748,-0.008435964584350586,-6.657838821411133e-05,-0.006490647792816162,-0.014860033988952637,0.014793992042541504,-6.604194641113281e-05,4.15234375,12.6376953125
IMG_0012_20260602202801133,model.36.coord_att,1,4,0.942836344242096,0.964231550693512,0.021395206451416016,-0.021395206451416016,0.002009093761444092,1.2636184692382812e-05,0.019386112689971924,0.021382570266723633,-0.028012096881866455,-0.006629526615142822,36.453125,277.171875
IMG_0012_20260602202801133,model.37.coord_att,1,4,0.7786715030670166,0.7889341711997986,0.010262668132781982,-0.010262668132781982,0.006878077983856201,0.00035965442657470703,0.0033845901489257812,0.009903013706207275,-0.07615101337432861,-0.06624799966812134,9.11328125,69.29296875
