image,sample_group,module,alpha_shape,over_mask_ratio,inside_over_src_mean,outside_src_mean,inside_minus_outside_src,inside_over_depth_mean,outside_depth_mean,inside_minus_outside_depth
622_xinjiang_IMG_0001_20260519032107538.jpg,normal,model.36.coord_att,80x80,0.0103125,0.9129318594932556,0.9700239896774292,-0.057092130184173584,0.08706814050674438,0.0299760103225708,0.057092130184173584
622_xinjiang_IMG_0001_20260519032107538.jpg,normal,model.37.coord_att,40x40,0.00625,0.8455389142036438,0.8604394197463989,-0.014900505542755127,0.1544610857963562,0.13956058025360107,0.014900505542755127
622_xinjiang_IMG_0001_20260519032107538_realexp.jpg,overexposed,model.36.coord_att,80x80,0.028125,0.9419457316398621,0.9719165563583374,-0.029970824718475342,0.05805426836013794,0.028083443641662598,0.029970824718475342
622_xinjiang_IMG_0001_20260519032107538_realexp.jpg,overexposed,model.37.coord_att,40x40,0.02375,0.87172931432724,0.8613659739494324,0.010363340377807617,0.12827068567276,0.13863402605056763,-0.010363340377807617
622_xinjiang_IMG_0001_20260519032107538_realexp.jpg,overexposed,model.38.coord_att,20x20,0.0175,0.6006064414978027,0.7110880017280579,-0.11048156023025513,0.39939355850219727,0.28891199827194214,0.11048156023025513
622_xinjiang_IMG_0001_20260519035419839.jpg,normal,model.36.coord_att,80x80,0.0084375,0.9025639891624451,0.970608115196228,-0.06804412603378296,0.09743601083755493,0.029391884803771973,0.06804412603378296
622_xinjiang_IMG_0001_20260519035419839.jpg,normal,model.37.coord_att,40x40,0.005625,0.7506133913993835,0.8495575189590454,-0.09894412755966187,0.24938660860061646,0.1504424810409546,0.09894412755966187
622_xinjiang_IMG_0001_20260519035419839_realexp.jpg,overexposed,model.36.coord_att,80x80,0.0490625,0.9618278741836548,0.9734914302825928,-0.011663556098937988,0.038172125816345215,0.026508569717407227,0.011663556098937988
622_xinjiang_IMG_0001_20260519035419839_realexp.jpg,overexposed,model.37.coord_att,40x40,0.04375,0.7838543057441711,0.8541926741600037,-0.07033836841583252,0.21614569425582886,0.14580732583999634,0.07033836841583252
622_xinjiang_IMG_0001_20260519035419839_realexp.jpg,overexposed,model.38.coord_att,20x20,0.035,0.5360527634620667,0.7009722590446472,-0.16491949558258057,0.46394723653793335,0.2990277409553528,0.16491949558258057
622_xinjiang_IMG_0005_20260519022640012.jpg,normal,model.36.coord_att,80x80,0.03640625,0.960668683052063,0.9746696949005127,-0.014001011848449707,0.03933131694793701,0.025330305099487305,0.014001011848449707
622_xinjiang_IMG_0005_20260519022640012.jpg,normal,model.37.coord_att,40x40,0.03125,0.8296220898628235,0.8582016825675964,-0.02857959270477295,0.1703779101371765,0.14179831743240356,0.02857959270477295
622_xinjiang_IMG_0005_20260519022640012.jpg,normal,model.38.coord_att,20x20,0.0225,0.5928371548652649,0.6936442852020264,-0.10080713033676147,0.4071628451347351,0.30635571479797363,0.10080713033676147
622_xinjiang_IMG_0005_20260519022640012_realexp.jpg,overexposed,model.36.coord_att,80x80,0.03859375,0.9680015444755554,0.9748344421386719,-0.006832897663116455,0.03199845552444458,0.025165557861328125,0.006832897663116455
622_xinjiang_IMG_0005_20260519022640012_realexp.jpg,overexposed,model.37.coord_att,40x40,0.031875,0.8349406123161316,0.8593363165855408,-0.02439570426940918,0.1650593876838684,0.14066368341445923,0.02439570426940918
