image,has_mask,ll_depth_corr,ll_depth_psnr,hf_depth_corr,ll_energy_share,hf_energy_share,hf_boundary_auc,depth_grad_boundary_auc,ll_grad_boundary_auc,mean_hf_on_boundary,mean_hf_off_boundary
622_xinjiang_IMG_0001_20260519032107538.jpg,1,0.9613347864809672,23.84910080013549,-0.11661320096504586,0.9881663683163542,0.01183363168077488,0.5963443006611844,0.606720302515509,0.6141700481196561,0.01141162496060133,0.011947501450777054
622_xinjiang_IMG_0001_20260519035419839.jpg,1,0.9624100586662793,23.7353824280813,-0.11211599945000683,0.9876520854695329,0.012347914527548916,0.5135699197998981,0.5338645899517673,0.5677047328173372,0.018015624955296516,0.012241357937455177
622_xinjiang_IMG_0002_20260519035950928.jpg,1,0.9615800548222546,23.866457607240868,-0.11625210535536992,0.98820377996074,0.011796220036386635,0.6116816828533713,0.6235325209871636,0.6448817272256088,0.02528146468102932,0.011760493740439415
622_xinjiang_IMG_0002_20260531183823941.jpg,1,0.9471328637527482,22.149034103296646,-0.09102972288029738,0.9804606696971545,0.01953933029964063,0.614578727794216,0.6599565154503144,0.6696804837540079,0.0182499960064888,0.01687421277165413
622_xinjiang_IMG_0005_20260519022640012.jpg,1,0.9617649002629045,23.915548915780963,-0.11074153184947598,0.9883590852090423,0.011640914788090045,0.6394646657711966,0.6728726950980447,0.687279404351006,0.02210136689245701,0.011568660847842693
622_xinjiang_IMG_0005_20260601194700559.jpg,1,0.946112813182552,22.270743686239122,-0.060834993054765016,0.9797894804788416,0.02021051951774929,0.6224685190387774,0.6588327842675256,0.6623545274276628,0.012191101908683777,0.01582189090549946
622_xinjiang_IMG_0005_20260602202800435.jpg,1,0.9409889789363667,21.824491203147343,-0.06099539466449992,0.9775203252548323,0.02247967474174605,0.6438551001718821,0.6485119994117816,0.6454065203096465,0.005300583317875862,0.0177591722458601
622_xinjiang_IMG_0007_20260519031052562.jpg,1,0.9611973623234562,23.68355007993692,-0.12186381095563746,0.9876609659939437,0.012339034003174784,0.5619945200228187,0.6143016389761073,0.6505626778302114,0.025319458916783333,0.012437262572348118
622_xinjiang_IMG_0007_20260601213601074.jpg,1,0.9488721476511255,22.313377365102774,-0.08384937509609222,0.9815671798541494,0.018432820142710648,0.602937210145244,0.6249732868099058,0.6414702536539991,0.015890739858150482,0.015881873667240143
622_xinjiang_IMG_0008_20260519034404107.jpg,1,0.9604640761352751,23.763862075818484,-0.11399587483384518,0.9879412438438825,0.012058756153248905,0.6083456048170123,0.6321059979375083,0.6499396285915332,0.017824674025177956,0.01207700651139021
622_xinjiang_IMG_0009_20260519195352213.jpg,1,0.9610050072322129,23.764774972620767,-0.11221519869905947,0.9879184486207698,0.01208155137635552,0.615222094165352,0.6290722639510989,0.6250733222527044,0.00458968011662364,0.012110388837754726
622_xinjiang_IMG_0012_20260602202801133.jpg,1,0.9456346818102026,22.238352714875006,-0.06312134314171443,0.9796521768447563,0.020347823151836947,0.6223905732801899,0.6299088775727129,0.6226002749539088,0.0023191990330815315,0.016061391681432724
622_xinjiang_IMG_0012_20260602212716738.jpg,1,0.9537112588118006,22.913488660841384,-0.09738632361109537,0.9845205730685128,0.01547942692845962,0.5858240858843538,0.6221656923185941,0.6442035005668935,0.01441977359354496,0.014049198478460312
622_xinjiang_IMG_0014_20260519035642641.jpg,1,0.9614379046386543,23.863194653079777,-0.1151119804432349,0.9882348764378767,0.011765123559259797,0.6497287100402988,0.7308740090072214,0.7838384439914949,0.0343000590801239,0.011695967987179756
622_xinjiang_IMG_0018_20260519031141201.jpg,1,0.9608799480245841,23.911282542104804,-0.10849233015883394,0.9884417125041226,0.011558287493032842,0.6242303489617763,0.6302810522421386,0.6304475033270367,0.004046336282044649,0.011623152531683445
622_xinjiang_IMG_0019_20260519033523707.jpg,1,0.9610196195681612,23.754919018974828,-0.11436085940496413,0.9879558756119252,0.012044124385215528,0.5995903363101802,0.6599108309991865,0.7323324490899465,0.035118911415338516,0.011995821259915829
622_xinjiang_IMG_0020_20260519030212085.jpg,1,0.961566294892811,23.74947212281558,-0.11617327274179218,0.9878000607629687,0.01219993923413868,0.5642340908768355,0.5991409952988809,0.6231169439413794,0.02419281378388405,0.012182611040771008
622_xinjiang_IMG_0021_20260519033301410.jpg,1,0.9611989150141809,23.98270735895549,-0.1064786667004022,0.9885969469582566,0.011403053038890469,0.6456516282496749,0.6464282163760785,0.6415128217000784,0.0031731054186820984,0.011406637728214264
622_xinjiang_IMG_0021_20260531180430128.jpg,1,0.9483109723349846,22.2789343699213,-0.07411571128104805,0.9803904077383899,0.019609592258296095,0.6223008514745411,0.6214080101484312,0.6116528763881839,0.005342551507055759,0.01630965806543827
622_xinjiang_IMG_0022_20260519030212330.jpg,1,0.961160778343049,23.71293622025029,-0.11669586160800405,0.9877472685443262,0.012252731452793025,0.5616352391035724,0.6087291118860347,0.645476353657481,0.024234047159552574,0.01226575393229723
622_xinjiang_IMG_0023_20260519063608445.jpg,1,0.9620390911786569,24.07295172353048,-0.11070678635880277,0.9888301993114433,0.01116980068570348,0.6618104841122614,0.6757529762498421,0.6721834171104861,0.0030029122717678547,0.011277332901954651
622_xinjiang_IMG_0023_20260531180517658.jpg,1,0.9463929058519819,22.032825820638386,-0.08320832522216212,0.9795069820700218,0.02049301792670561,0.5635491896371846,0.593227935152764,0.615225893822591,0.02280765399336815,0.017137644812464714
622_xinjiang_IMG_0024_20260601042338501.jpg,1,0.960535277074446,23.92459730179604,-0.10663423193158716,0.9883942168532667,0.011605783143868318,0.6979832573638788,0.7130155648504554,0.710927728185675,0.006341871339827776,0.01146655436605215
622_xinjiang_IMG_0024_20260601201837957.jpg,1,0.9475354810973021,22.371966847093514,-0.07020903167034642,0.9804662402220513,0.019533759774576075,0.657716880586377,0.6801863297024314,0.6740060998004482,0.006071674171835184,0.01573902554810047
622_xinjiang_IMG_0025_20260519031007209.jpg,1,0.9615876552526176,23.804407724191385,-0.11571348141477909,0.9880601932664455,0.011939806730687544,0.5930935185600205,0.6184810149997474,0.6256583926040235,0.010950245894491673,0.01210818998515606
622_xinjiang_IMG_0025_20260519033301887.jpg,1,0.9608151346367353,23.8962430478815,-0.10811419434303375,0.9883349041046848,0.011665095892454276,0.6393287544227477,0.6479705638187532,0.6449793192011297,0.003535896074026823,0.01168403122574091
622_xinjiang_IMG_0027_20260519032158098.jpg,1,0.9601306077550014,23.725864845578663,-0.11696967601309624,0.9878219644684209,0.012178035528707302,0.6253859921563323,0.6345630864294833,0.6424436676827211,0.00620846264064312,0.012240641750395298
622_xinjiang_IMG_0027_20260519032554715.jpg,1,0.9617718301821837,23.958700253544084,-0.11006295370610832,0.9884939783544261,0.011506021642711152,0.6464687625389431,0.6693698749147976,0.6700505837792283,0.004763060249388218,0.011517677456140518
622_xinjiang_IMG_0027_20260601211751828.jpg,1,0.9484970897669027,22.49479263258502,-0.08909401997922513,0.9827974882823763,0.01720251171456833,0.6784113617684028,0.7059078677606362,0.706404289976775,0.005140953231602907,0.01519362349063158
622_xinjiang_IMG_0028_20260519033437231.jpg,1,0.9609159920643188,23.830445461078323,-0.1134470618913754,0.9881474733171921,0.01185252667994474,0.6310897364644739,0.651526351037243,0.6695907507220316,0.0165532436221838,0.01182747446000576
622_xinjiang_IMG_0028_20260601041719724.jpg,1,0.9603795539038739,23.917045252315333,-0.10133541726451809,0.9883665946177551,0.011633405379378074,0.6128486291711134,0.6273617240206959,0.626162715050873,0.0007077465998008847,0.011515134014189243
622_xinjiang_IMG_0029_20260519033437423.jpg,1,0.9615432460308273,23.95839326955903,-0.10912455335690006,0.9885184900376548,0.011481509959488745,0.6998012025283944,0.7598301865985286,0.7730712437951063,0.024070575833320618,0.011372408829629421
622_xinjiang_IMG_0031_20260519032333207.jpg,1,0.9607930446422587,23.65583520479696,-0.1170914393001298,0.9874974002591135,0.012502599737985386,0.7015128989873713,0.7161703946896362,0.7204053125195008,0.010044345632195473,0.012705517001450062
622_xinjiang_IMG_0031_20260519032642832.jpg,1,0.9619473957314185,23.812231353425595,-0.11532678152601529,0.9879624691387483,0.012037530858356071,0.6243735894018336,0.6410141564683549,0.6520946201381316,0.011682959273457527,0.012135397642850876
622_xinjiang_IMG_0031_20260519072026075.jpg,1,0.960976274535081,23.709912427119768,-0.1183607620541169,0.9877383744633002,0.012261625533818902,0.632708129098291,0.6621309856042175,0.6825334373912527,0.021363291889429092,0.012277673929929733
622_xinjiang_IMG_0031_20260519210233121.jpg,1,0.9607564925815099,23.695710584542358,-0.11140730912505123,0.9876715500627686,0.012328449934344198,0.6625675166261966,0.6894091686845182,0.6921585101078713,0.012915922328829765,0.012241203337907791
622_xinjiang_IMG_0032_20260602040411655.jpg,1,0.9606718239186232,23.878787091656093,-0.10213439987866785,0.9882203931680348,0.011779606829087868,0.7782200808593537,0.813947466235543,0.8161113705577737,0.01181555911898613,0.011485995724797249
622_xinjiang_IMG_0033_20260519030038859.jpg,1,0.9608095212934554,23.823342192600514,-0.11648945985274844,0.9881099985441617,0.01189000145297072,0.6078918470423973,0.6184182148710329,0.6171473819479822,0.0060091945342719555,0.01213779952377081
622_xinjiang_IMG_0033_20260519033612913.jpg,1,0.9599545710720808,23.671370250315707,-0.1202671211895663,0.9876377725734014,0.012362227423719754,0.6421768754215579,0.6588106147771741,0.6558160613889281,0.004259226378053427,0.012641205452382565
622_xinjiang_IMG_0033_20260519034407035.jpg,1,0.9598669028071529,23.734257604564654,-0.11709127606588378,0.987860618607276,0.012139381389855796,0.5958834618357111,0.6211953151501252,0.6295166850646184,0.010651687160134315,0.01220475323498249
622_xinjiang_IMG_0033_20260531050553543.jpg,1,0.9593710895688828,23.654337695288397,-0.11939101748170403,0.9875651997484203,0.012434800248695303,0.6644242889175436,0.6891922356779987,0.6961034384890176,0.014562455005943775,0.012564361095428467
