epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
29,7795.2106,0.46371,0.53879,0.37864,0,0.87816,0.84973,0.88937,0.77158,0.87741,0.84132,0.88558,0.73779,0.44918,0.72234,0.39906,0,0.0090676,0.0090676,0.0090676,0.0090676
30,7969.8956,0.47262,0.54876,0.37256,0,0.88661,0.85502,0.90048,0.78345,0.89209,0.84952,0.89992,0.75128,0.43797,0.69359,0.37965,0,0.0090343,0.0090343,0.0090343,0.0090343
31,8140.2715,0.46626,0.54573,0.3646,0,0.86995,0.86228,0.89669,0.78105,0.87133,0.86075,0.89573,0.74731,0.43904,0.70166,0.38422,0,0.009001,0.009001,0.009001,0.009001
32,8318.4392,0.47068,0.54074,0.37169,0,0.88318,0.85273,0.8996,0.78467,0.89536,0.84291,0.89774,0.75583,0.43684,0.695,0.38301,0,0.0089677,0.0089677,0.0089677,0.0089677
33,8496.2788,0.46662,0.54313,0.37473,0,0.87549,0.86211,0.90041,0.78609,0.87855,0.85735,0.89894,0.75307,0.43142,0.68444,0.37944,0,0.0089344,0.0089344,0.0089344,0.0089344
34,8675.9973,0.44995,0.50319,0.36089,0,0.89041,0.85363,0.90202,0.79143,0.89776,0.85357,0.90339,0.76318,0.42498,0.67608,0.37238,0,0.0089011,0.0089011,0.0089011,0.0089011
35,8859.6881,0.46124,0.53162,0.37149,0,0.89594,0.85346,0.90407,0.7902,0.8951,0.85333,0.90213,0.75649,0.43141,0.68199,0.37384,0,0.0088678,0.0088678,0.0088678,0.0088678
36,9042.2948,0.45297,0.52238,0.36241,0,0.89493,0.85953,0.90849,0.79598,0.89751,0.85753,0.90769,0.76273,0.42511,0.67398,0.36588,0,0.0088345,0.0088345,0.0088345,0.0088345
37,9224.1651,0.45723,0.52694,0.35802,0,0.90034,0.8548,0.90595,0.79608,0.90027,0.85232,0.90586,0.76213,0.41828,0.6772,0.36467,0,0.0088012,0.0088012,0.0088012,0.0088012
38,9407.2484,0.44916,0.51923,0.35969,0,0.89596,0.86208,0.90359,0.7932,0.89808,0.85805,0.9034,0.75772,0.42188,0.67414,0.36627,0,0.0087679,0.0087679,0.0087679,0.0087679
39,9586.8384,0.44138,0.49493,0.34788,0,0.89706,0.85356,0.905,0.79917,0.89794,0.85765,0.90527,0.76328,0.41677,0.67976,0.36086,0,0.0087346,0.0087346,0.0087346,0.0087346
40,9765.2693,0.43755,0.49048,0.34275,0,0.89814,0.86156,0.90595,0.79925,0.90031,0.86411,0.90961,0.76508,0.41343,0.66138,0.35574,0,0.0087013,0.0087013,0.0087013,0.0087013
41,9943.6436,0.44408,0.49656,0.34813,0,0.89743,0.86876,0.90957,0.8012,0.90381,0.86281,0.91003,0.77038,0.41206,0.65805,0.35751,0,0.008668,0.008668,0.008668,0.008668
42,10120.503,0.44528,0.51517,0.35804,0,0.88027,0.87307,0.90727,0.79865,0.88565,0.87439,0.91034,0.76452,0.41428,0.66914,0.35837,0,0.0086347,0.0086347,0.0086347,0.0086347
43,10292.789,0.44558,0.51112,0.35282,0,0.90189,0.86652,0.91004,0.80155,0.90127,0.86637,0.90936,0.76727,0.40749,0.6617,0.35052,0,0.0086014,0.0086014,0.0086014,0.0086014
44,10464.278,0.4376,0.48742,0.34525,0,0.89829,0.86777,0.90877,0.80152,0.90144,0.86383,0.90756,0.76915,0.40807,0.66941,0.3515,0,0.0085681,0.0085681,0.0085681,0.0085681
45,10629.036,0.43549,0.49315,0.33785,0,0.90493,0.86319,0.90979,0.80244,0.90019,0.86898,0.9089,0.76741,0.4053,0.65067,0.35194,0,0.0085348,0.0085348,0.0085348,0.0085348
46,10802.774,0.42635,0.47546,0.33706,0,0.89606,0.87924,0.91305,0.80488,0.89853,0.87796,0.91436,0.77161,0.40465,0.64561,0.34789,0,0.0085015,0.0085015,0.0085015,0.0085015
47,10973.798,0.4326,0.50362,0.32836,0,0.89172,0.87699,0.90982,0.80234,0.89266,0.8777,0.91036,0.77105,0.40381,0.65977,0.35031,0,0.0084682,0.0084682,0.0084682,0.0084682
48,11141.752,0.43397,0.49926,0.33829,0,0.89926,0.87059,0.91237,0.80597,0.90135,0.87173,0.91274,0.77429,0.40145,0.66179,0.34965,0,0.0084349,0.0084349,0.0084349,0.0084349
49,11315.831,0.42519,0.47012,0.33131,0,0.90543,0.87201,0.91215,0.80804,0.90675,0.8723,0.91204,0.77603,0.39914,0.64973,0.34368,0,0.0084016,0.0084016,0.0084016,0.0084016
50,11491.057,0.43013,0.49682,0.33143,0,0.90273,0.87324,0.91422,0.80891,0.90314,0.8734,0.91313,0.77537,0.4,0.65215,0.34379,0,0.0083683,0.0083683,0.0083683,0.0083683
51,11665.344,0.4308,0.49601,0.32925,0,0.89939,0.88447,0.91542,0.81091,0.90225,0.87989,0.91286,0.77812,0.39675,0.64895,0.33929,0,0.008335,0.008335,0.008335,0.008335
52,11844.928,0.42688,0.48172,0.32978,0,0.90843,0.87066,0.91511,0.81035,0.90972,0.87049,0.91487,0.77742,0.39569,0.65895,0.33912,0,0.0083017,0.0083017,0.0083017,0.0083017
53,12020.88,0.43191,0.49929,0.33025,0,0.89938,0.88146,0.91648,0.81196,0.89878,0.88236,0.916,0.77834,0.39605,0.65623,0.33697,0,0.0082684,0.0082684,0.0082684,0.0082684
54,12202.365,0.42631,0.49727,0.32945,0,0.90974,0.87429,0.91721,0.81142,0.9111,0.8732,0.91643,0.77958,0.39589,0.65331,0.33567,0,0.0082351,0.0082351,0.0082351,0.0082351
55,12383.763,0.42019,0.47463,0.32831,0,0.91854,0.86739,0.91623,0.81093,0.92252,0.86479,0.91353,0.77754,0.39562,0.65226,0.33673,0,0.0082018,0.0082018,0.0082018,0.0082018
56,12564.428,0.41391,0.47557,0.32767,0,0.9092,0.88139,0.91863,0.81333,0.90949,0.88156,0.91655,0.78052,0.39499,0.64826,0.33126,0,0.0081685,0.0081685,0.0081685,0.0081685
57,12746.29,0.41131,0.48263,0.32079,0,0.9074,0.88337,0.9186,0.81415,0.91465,0.88071,0.91569,0.78056,0.39549,0.65403,0.33005,0,0.0081352,0.0081352,0.0081352,0.0081352
58,12934.128,0.42107,0.49047,0.32722,0,0.90946,0.87908,0.91895,0.81396,0.91138,0.87715,0.91529,0.78133,0.39216,0.6546,0.32656,0,0.0081019,0.0081019,0.0081019,0.0081019
59,13120.188,0.41442,0.46652,0.32249,0,0.90568,0.88326,0.91886,0.81528,0.91034,0.88153,0.91801,0.78207,0.39039,0.65306,0.32645,0,0.0080686,0.0080686,0.0080686,0.0080686
